[ 2025-06-17 17:00:52,652 ] 26 root - INFO - Initiate the data ingestion
[ 2025-06-17 17:00:59,785 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-06-17 17:00:59,785 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-17 17:00:59,787 ] 76 root - INFO - Exporting train and test file path.
[ 2025-06-17 17:00:59,833 ] 85 root - INFO - Exported train and test file path.
[ 2025-06-17 17:00:59,833 ] 28 root - INFO - Data Initiation Completed
[ 2025-06-17 17:00:59,840 ] 33 root - INFO - Initiate the data Validation
[ 2025-06-17 17:00:59,862 ] 39 root - INFO - Required number of columns:2
[ 2025-06-17 17:00:59,862 ] 40 root - INFO - Data frame has columns:31
[ 2025-06-17 17:00:59,862 ] 39 root - INFO - Required number of columns:2
[ 2025-06-17 17:00:59,862 ] 40 root - INFO - Data frame has columns:31
[ 2025-06-17 17:00:59,982 ] 35 root - INFO - data Validation Completed
[ 2025-06-17 17:00:59,983 ] 39 root - INFO - data Transformation started
[ 2025-06-17 17:00:59,983 ] 72 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-17 17:00:59,983 ] 76 root - INFO - Starting data transformation
[ 2025-06-17 17:01:00,005 ] 58 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-17 17:01:00,005 ] 63 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-17 17:01:00,022 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-17 17:01:00,026 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-17 17:01:00,026 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-17 17:01:00,030 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-17 17:01:00,031 ] 47 root - INFO - data Transformation completed
[ 2025-06-17 17:01:00,031 ] 49 root - INFO - Model Training started
