[ 2025-06-17 17:09:34,280 ] 26 root - INFO - Initiate the data ingestion
[ 2025-06-17 17:09:41,355 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-06-17 17:09:41,355 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-17 17:09:41,355 ] 76 root - INFO - Exporting train and test file path.
[ 2025-06-17 17:09:41,409 ] 85 root - INFO - Exported train and test file path.
[ 2025-06-17 17:09:41,409 ] 28 root - INFO - Data Initiation Completed
[ 2025-06-17 17:09:41,415 ] 33 root - INFO - Initiate the data Validation
[ 2025-06-17 17:09:41,448 ] 39 root - INFO - Required number of columns:2
[ 2025-06-17 17:09:41,448 ] 40 root - INFO - Data frame has columns:31
[ 2025-06-17 17:09:41,448 ] 39 root - INFO - Required number of columns:2
[ 2025-06-17 17:09:41,448 ] 40 root - INFO - Data frame has columns:31
[ 2025-06-17 17:09:41,574 ] 35 root - INFO - data Validation Completed
[ 2025-06-17 17:09:41,574 ] 39 root - INFO - data Transformation started
[ 2025-06-17 17:09:41,574 ] 72 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-17 17:09:41,574 ] 76 root - INFO - Starting data transformation
[ 2025-06-17 17:09:41,595 ] 58 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-17 17:09:41,595 ] 63 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-17 17:09:41,608 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-17 17:09:41,616 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-17 17:09:41,616 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-17 17:09:41,619 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-17 17:09:41,620 ] 47 root - INFO - data Transformation completed
[ 2025-06-17 17:09:41,620 ] 49 root - INFO - Model Training started
