[ 2025-06-17 16:03:59,173 ] 26 root - INFO - Initiate the data ingestion
[ 2025-06-17 16:04:07,372 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-06-17 16:04:07,373 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-17 16:04:07,375 ] 76 root - INFO - Exporting train and test file path.
[ 2025-06-17 16:04:07,428 ] 85 root - INFO - Exported train and test file path.
[ 2025-06-17 16:04:07,428 ] 28 root - INFO - Data Initiation Completed
[ 2025-06-17 16:04:07,437 ] 33 root - INFO - Initiate the data Validation
[ 2025-06-17 16:04:07,457 ] 39 root - INFO - Required number of columns:2
[ 2025-06-17 16:04:07,457 ] 40 root - INFO - Data frame has columns:31
[ 2025-06-17 16:04:07,458 ] 39 root - INFO - Required number of columns:2
[ 2025-06-17 16:04:07,458 ] 40 root - INFO - Data frame has columns:31
[ 2025-06-17 16:04:07,579 ] 35 root - INFO - data Validation Completed
[ 2025-06-17 16:04:07,579 ] 39 root - INFO - data Transformation started
[ 2025-06-17 16:04:07,579 ] 72 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-17 16:04:07,579 ] 76 root - INFO - Starting data transformation
[ 2025-06-17 16:04:07,603 ] 58 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-17 16:04:07,603 ] 63 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-17 16:04:07,622 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-17 16:04:07,626 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-17 16:04:07,626 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-17 16:04:07,631 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-17 16:04:07,633 ] 47 root - INFO - data Transformation completed
