[ 2025-06-17 17:28:21,828 ] 26 root - INFO - Initiate the data ingestion
[ 2025-06-17 17:28:30,409 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-06-17 17:28:30,409 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-17 17:28:30,409 ] 76 root - INFO - Exporting train and test file path.
[ 2025-06-17 17:28:30,456 ] 85 root - INFO - Exported train and test file path.
[ 2025-06-17 17:28:30,456 ] 28 root - INFO - Data Initiation Completed
[ 2025-06-17 17:28:30,456 ] 33 root - INFO - Initiate the data Validation
[ 2025-06-17 17:28:30,478 ] 39 root - INFO - Required number of columns:2
[ 2025-06-17 17:28:30,478 ] 40 root - INFO - Data frame has columns:31
[ 2025-06-17 17:28:30,478 ] 39 root - INFO - Required number of columns:2
[ 2025-06-17 17:28:30,478 ] 40 root - INFO - Data frame has columns:31
[ 2025-06-17 17:28:30,585 ] 35 root - INFO - data Validation Completed
[ 2025-06-17 17:28:30,585 ] 39 root - INFO - data Transformation started
[ 2025-06-17 17:28:30,585 ] 72 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-17 17:28:30,585 ] 76 root - INFO - Starting data transformation
[ 2025-06-17 17:28:30,618 ] 58 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-17 17:28:30,618 ] 63 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-17 17:28:30,634 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-17 17:28:30,634 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-17 17:28:30,634 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-17 17:28:30,641 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-17 17:28:30,641 ] 47 root - INFO - data Transformation completed
[ 2025-06-17 17:28:30,641 ] 49 root - INFO - Model Training started
